id,label,description
*,Star,Star
**,**,Double or Multiple Star
..1,,{pr*} Pre-Main Sequence Star 
..10,,Barium Star
..11,,Dwarf Carbon Star
..12,,Carbon-Enhanced Metal Poor Star
..13,,{Al*} Eclipsing Binary of Algol type
..14,,{bL*}Eclipsing Binary of beta Lyr type
..15,,{WU*} Eclipsing Binary of W UMa type
..16,,{NL*} Nova-like Binary
..17,,{DN*} Dwarf Nova
..18,,{DQ*} CV of DQ Her type  Intermediate polar.
..19,,{AM*} CV of AM CVn type
..2,,LBV=Luminous Blue Variable
..20,,Irregular Variable with rapid variations
..21,,{Fl*} Flare Star
..22,,Star showing Eclipses by its Planet
..23,,{*iC} Star towards a Cluster
..24,,{*iA} Star towards an Association
..25,,{*iN} Star towards a Nebula
..26,,{*i*} Star in double system
..27,,{BNe} Bright Nebula
..28,,{HzG} Galaxy with high redshift
..29,,"{ERO} ERO/VRO, Extremely/Very Red Object"
..3,,{FU*} FU Ori Variable
..30,,"ULIRG, Ultra Luminous Infrared Galaxy"
..31,,"{LyA, DLA, mAL, LLS, BAL} Absorption Line System"
..32,,{red} Very Red Source
..4,,Red Clump Star
..5,,{sr*} Semi-Regular Variable
..6,,O-rich AGB Star
..7,,{ZZ*} Pulsating White Dwarf
..8,,ELMWD=Extremely Low Mass White Dwarf
..9,,CH Star
?,Unknown,Object of Unknown Nature
AB*,AGB*,Asymptotic Giant Branch Star
AGN,AGN,Active Galaxy Nucleus
Ae*,Ae*,Herbig Ae/Be Star
As*,Association,Association of Stars
BD*,BrownD*,Brown Dwarf
BH,BlackHole,Black Hole
BLL,BLLac,BL Lac
BS*,BlueStraggler,Blue Straggler
BY*,BYDraV*,BY Dra Variable
Be*,Be*,Be Star
BiC,BrightestCG,Brightest Galaxy in a Cluster (BCG)
Bla,Blazar,Blazar
C*,C*,Carbon Star
CGG,Compact_Gr_G,Compact Group of Galaxies
CGb,ComGlob,Cometary Globule / Pillar
CV*,CataclyV*,Cataclysmic Binary
Ce*,Cepheid,Cepheid Variable
Cl*,Cluster*,Cluster of Stars
ClG,ClG,Cluster of Galaxies
Cld,Cloud,Cloud
DNe,DarkNeb,Dark Cloud (nebula)
EB*,EclBin,Eclipsing Binary
El*,EllipVar,Ellipsoidal Variable
Em*,EmLine*,Emission-line Star
EmG,EmissionG,Emission-line galaxy
EmO,EmObj,Emission Object
Er*,Eruptive*,Eruptive Variable
Ev*,Evolved*,Evolved Star
FIR,FarIR,Far-IR source (λ >= 30 µm)
G,Galaxy,Galaxy
GNe,GalNeb,Nebula
GWE,GravWaveEvent,Gravitational Wave Event
GiC,GtowardsCl,Galaxy towards a Cluster of Galaxies
GiG,GtowardsGroup,Galaxy towards a Group of Galaxies
GiP,GinPair,Galaxy in Pair of Galaxies
GlC,GlobCluster,Globular Cluster
GrG,GroupG,Group of Galaxies
H2G,HIIG,HII Galaxy
HB*,HorBranch*,Horizontal Branch Star
HH,HerbigHaroObj,Herbig-Haro Object
HI,HI,HI (21cm) Source
HII,HIIReg,HII Region
